Time,Amount,Class
111598.0,1.29,0
111590.0,9.99,0
111585.0,0.89,0
111583.0,4.49,0
111582.0,42.62,0
111581.0,9.99,0
111580.0,0.89,0
111579.0,1.79,0
111577.0,0.76,0
111573.0,88.0,0
111572.0,31.29,0
111572.0,36.71,0
111569.0,66.06,0
111569.0,22.27,0
111560.0,1.0,0
111557.0,10.74,0
111554.0,19.97,0
111552.0,2.0,0
111551.0,5.99,0
111549.0,99.99,0
111548.0,3.0,0
111548.0,691.0,0
111548.0,5.6,0
111547.0,112.0,0
111543.0,15.13,0
111542.0,0.77,0
111541.0,29.9,0
111537.0,56.63,0
111537.0,242.19,0
111536.0,10.32,0
111534.0,54.75,0
111521.0,0.99,0
111521.0,1.99,0
111519.0,11.5,0
111518.0,0.89,0
111518.0,20.0,0
111517.0,1767.71,0
111517.0,75.76,0
111513.0,14.9,0
111511.0,82.38,0
111510.0,4.49,0
111510.0,3.59,0
111510.0,7.91,0
111508.0,50.39,0
111505.0,11.5,0
111504.0,4.45,0
111503.0,255.0,0
111502.0,50.0,0
111502.0,21.03,0
111500.0,1.0,0
111499.0,89.03,0
111499.0,1.79,0
111499.0,31.0,0
111498.0,9.99,0
111497.0,36.41,0
111495.0,73.28,0
111492.0,9.99,0
111491.0,2.58,0
111489.0,4.8,0
111488.0,120.01,0
111487.0,26.44,0
111487.0,62.44,0
111486.0,7.99,0
111485.0,1.79,0
111484.0,151.33,0
111484.0,203.2,0
111480.0,1.98,0
111480.0,26.0,0
111479.0,87.54,0
111477.0,8.49,0
111474.0,9.99,0
111472.0,806.06,0
111472.0,29.92,0
111471.0,54.99,0
111468.0,1.0,0
111466.0,100.79,0
111465.0,19.51,0
111463.0,90.75,0
111462.0,27.41,0
111462.0,1.0,0
111462.0,109.0,0
111461.0,49.72,0
111461.0,77.65,0
111461.0,10.0,0
111460.0,12.0,0
111459.0,49.8,0
111457.0,41.5,0
111457.0,2.67,0
111456.0,12.54,0
111456.0,899.82,0
111455.0,1.91,0
111455.0,7.17,0
111454.0,400.0,0
111453.0,49.72,0
111451.0,0.99,0
111448.0,53.0,0
111448.0,10.0,0
111445.0,2.28,0
111443.0,26.45,0
111440.0,30.24,0
111437.0,50.0,0
111436.0,62.65,0
111435.0,25.0,0
111435.0,11.0,0
111434.0,3.39,0
111434.0,34.35,0
111433.0,20.0,0
111432.0,74.95,0
111422.0,20.0,0
111421.0,59.91,0
111420.0,100.0,0
111419.0,13.1,0
111419.0,7.87,0
111418.0,44.74,0
111418.0,60.0,0
111415.0,0.89,0
111413.0,9.3,0
111412.0,0.82,0
111408.0,21.41,0
111402.0,21.99,0
111401.0,132.98,0
111401.0,57.8,0
111399.0,125.42,0
111396.0,30.0,0
111395.0,190.87,0
111395.0,1.0,0
111393.0,536.1,0
111387.0,20.95,0
111387.0,49.99,0
111385.0,125.0,0
111383.0,338.77,0
111380.0,382.36,0
111375.0,189.7,0
111374.0,11.4,0
111372.0,1.78,0
111368.0,1.0,0
111367.0,3.83,0
111365.0,7.08,0
111363.0,15.0,0
111362.0,1.78,0
111362.0,10.79,0
111359.0,20.0,0
111357.0,274.96,0
111355.0,66.46,0
111353.0,60.9,0
111352.0,10.0,0
111349.0,3.85,0
111348.0,9.16,0
111347.0,5420.61,0
111347.0,49.99,0
111347.0,15.99,0
111344.0,41.62,0
111343.0,1.88,0
111341.0,28.75,0
111341.0,60.0,0
111339.0,709.3,0
111338.0,68.0,0
111338.0,22.94,0
111335.0,5.68,0
111334.0,1.0,0
111333.0,0.89,0
111331.0,169.97,0
111330.0,53.7,0
111328.0,7.86,0
111326.0,8.78,0
111324.0,20.0,0
111319.0,130.98,0
111315.0,1.0,0
111309.0,21.03,0
111308.0,31.88,0
111307.0,5.99,0
111307.0,5.53,0
111304.0,410.06,0
111304.0,24.51,0
111303.0,231.11,0
111301.0,17.99,0
111300.0,676.74,0
111300.0,2.69,0
111299.0,30.0,0
111298.0,13.99,0
111297.0,39.95,0
111296.0,1.49,0
111296.0,124.9,0
111295.0,12.61,0
111293.0,7.7,0
111293.0,55.47,0
111293.0,1.79,0
111292.0,47.85,0
111291.0,0.89,0
111290.0,11.34,0
111288.0,64.0,0
111287.0,20.82,0
111285.0,22.7,0
111283.0,0.77,0
111281.0,23.14,0
111281.0,476.04,0
111278.0,1.78,0
111274.0,27.23,0
111272.0,87.85,0
111272.0,54.49,0
111271.0,40.0,0
111269.0,25.65,0
111268.0,54.59,0
111264.0,47.74,0
111264.0,0.89,0
111261.0,0.89,0
111260.0,5.0,0
111257.0,19.23,0
111256.0,0.0,0
111252.0,29.0,0
111252.0,79.0,0
111246.0,37.0,0
111244.0,39.01,0
111239.0,328.02,0
111236.0,9.99,0
111233.0,11.31,0
111233.0,6.54,0
111230.0,26.5,0
111230.0,37.5,0
111228.0,3.57,0
111228.0,1.79,0
111226.0,12.31,0
111219.0,27.68,0
111217.0,102.0,0
111215.0,50.0,0
111215.0,15.0,0
111212.0,8.99,0
111207.0,80.0,0
111207.0,456.62,0
111204.0,23.9,0
111203.0,125.41,0
111203.0,58.63,0
111202.0,2.36,0
111201.0,71.02,0
111200.0,1.98,0
111198.0,5.04,0
111196.0,0.47,0
111196.0,100.0,0
111193.0,23.0,0
111185.0,115.0,0
111183.0,1.79,0
111182.0,144.0,0
111181.0,49.99,0
111181.0,2.36,0
111181.0,15.0,0
111179.0,112.76,0
111177.0,87.17,0
111175.0,12.1,0
111174.0,19.99,0
111172.0,0.99,0
111169.0,2.69,0
111163.0,500.0,0
111158.0,1.98,0
111154.0,3.78,0
111150.0,62.99,0
111150.0,1.0,0
111150.0,1.0,0
111150.0,45.85,0
111149.0,1.0,0
111149.0,16.99,0
111149.0,1.0,0
111149.0,83.93,0
111149.0,1.0,0
111148.0,1.0,0
111148.0,1.0,0
111148.0,1.0,0
111147.0,1.0,0
111147.0,67.95,0
111147.0,1.0,0
111146.0,1.0,0
111146.0,1.0,0
111146.0,1.0,0
111145.0,1.0,0
111145.0,1.0,0
111144.0,1.0,0
111144.0,1.0,0
111144.0,52.98,0
111144.0,1.0,0
111143.0,1.0,0
111143.0,1.0,0
111143.0,7.74,0
111142.0,1.0,0
111142.0,1.0,0
111142.0,1.0,0
111141.0,1.0,0
111141.0,1.0,0
111140.0,1.0,0
111140.0,1.0,0
111140.0,1.0,0
111139.0,1.0,0
111139.0,1.0,0
111138.0,643.61,0
111138.0,1.0,0
111138.0,1.0,0
111138.0,11.96,0
111137.0,1.0,0
111137.0,1.0,0
111137.0,1.0,0
111136.0,1.0,0
111136.0,1.0,0
111136.0,1.0,0
111136.0,1.0,0
111135.0,1.0,0
111135.0,1.0,0
111135.0,1.0,0
111134.0,1.0,0
111134.0,1.0,0
111133.0,0.89,0
111133.0,1.0,0
111133.0,1.0,0
111133.0,1.0,0
111132.0,1.0,0
111132.0,1.0,0
111132.0,14.99,0
111132.0,19.4,0
111131.0,24.0,0
111131.0,1.0,0
111131.0,1.0,0
111131.0,1.0,0
111131.0,0.51,0
111130.0,1.0,0
111130.0,1.0,0
111129.0,1.0,0
111129.0,1.0,0
111129.0,2.89,0
111129.0,217.03,0
111129.0,1.0,0
111128.0,1.0,0
111128.0,1.0,0
111127.0,1.0,0
111127.0,1.0,0
111127.0,1.0,0
111126.0,1.0,0
111126.0,1.0,0
111125.0,1.0,0
111125.0,1.0,0
111125.0,1.0,0
111124.0,1.0,0
111124.0,93.72,0
111124.0,1.0,0
111123.0,1.0,0
111123.0,1.0,0
111123.0,1.0,0
111122.0,1.0,0
111122.0,1.0,0
111121.0,1.0,0
111121.0,1.0,0
111121.0,1.0,0
111120.0,1.0,0
111120.0,1.0,0
111119.0,1.0,0
111119.0,1.79,0
111119.0,1.0,0
111119.0,1.0,0
111118.0,1.0,0
111118.0,1.0,0
111117.0,1.0,0
111117.0,1.0,0
111117.0,1.0,0
111116.0,1.0,0
111116.0,1.0,0
111115.0,1.0,0
111115.0,74.34,0
111115.0,1.0,0
111115.0,1.0,0
111114.0,1.0,0
111114.0,1.0,0
111113.0,1.0,0
111113.0,7.64,0
111113.0,20.0,0
111113.0,1.0,0
111113.0,1.0,0
111112.0,1.0,0
111112.0,1.0,0
111111.0,1.0,0
111111.0,1.0,0
111111.0,1.0,0
111110.0,19.95,0
111110.0,1.0,0
111110.0,1.0,0
111110.0,1.0,0
111109.0,1.0,0
111109.0,1.0,0
111108.0,1.0,0
111108.0,15.36,0
111108.0,1.0,0
111108.0,1.0,0
111107.0,1.0,0
111107.0,1.0,0
111106.0,1.0,0
111106.0,1.0,0
111106.0,125.41,0
111106.0,1.0,0
111105.0,0.0,0
111105.0,1.0,0
111105.0,1.0,0
111105.0,1.0,0
111104.0,1.0,0
111104.0,1.0,0
111103.0,1.0,0
111103.0,1.0,0
111103.0,1.0,0
111102.0,20.43,0
111102.0,1.0,0
111102.0,1.0,0
111101.0,1.0,0
111101.0,1.0,0
111101.0,8.98,0
111101.0,9.39,0
111101.0,1.0,0
111101.0,11.99,0
111100.0,1.0,0
111100.0,1.0,0
111100.0,31.61,0
111100.0,1.0,0
111099.0,1.0,0
111099.0,1.0,0
111099.0,2.12,0
111098.0,1.0,0
111098.0,1.0,0
111098.0,147.45,0
111098.0,1.0,0
111097.0,1.0,0
111097.0,1.0,0
111096.0,1.0,0
111096.0,1.0,0
111096.0,1.0,0
111095.0,1.0,0
111095.0,1.0,0
111095.0,8.31,0
111094.0,1.0,0
111094.0,1.0,0
111094.0,1.0,0
111093.0,1.0,0
111093.0,50.0,0
111093.0,1.0,0
111092.0,1.0,0
111092.0,1.0,0
111092.0,1.0,0
111091.0,1.0,0
111091.0,1.0,0
111090.0,1.0,0
111090.0,1.0,0
111090.0,1.0,0
111090.0,0.99,0
111089.0,1.0,0
111089.0,1.0,0
111089.0,1.0,0
111087.0,69.99,0
111087.0,136.0,0
111086.0,251.91,0
111083.0,34.5,0
111081.0,31.06,0
111079.0,208.2,0
111077.0,9.18,0
111077.0,120.0,0
111073.0,10.6,0
111071.0,52.67,0
111069.0,3.16,0
111068.0,17.24,0
111067.0,2.12,0
111066.0,0.99,0
111063.0,55.0,0
111062.0,3.57,0
111061.0,1.0,0
111060.0,99.99,0
111059.0,2.12,0
111059.0,1.99,0
111059.0,15.0,0
111058.0,0.89,0
111056.0,13.34,0
111055.0,50.49,0
111053.0,11.34,0
111053.0,0.99,0
111049.0,4.95,0
111048.0,31.3,0
111046.0,27.44,0
111046.0,42.6,0
111045.0,6.95,0
111045.0,28.76,0
111044.0,11.5,0
111044.0,0.89,0
111043.0,160.28,0
111043.0,12.45,0
111041.0,20.0,0
111040.0,9.39,0
111032.0,120.83,0
111029.0,1.98,0
111029.0,1.79,0
111024.0,38.83,0
111023.0,30.34,0
111022.0,11.62,0
111019.0,4.49,0
111019.0,29.95,0
111018.0,1.98,0
111018.0,59.95,0
111015.0,19.43,0
111014.0,39.99,0
111013.0,53.24,0
111013.0,96.0,0
111009.0,20.0,0
